"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2023","OK","Oklahoma","Creek","BRFSS","Prevention","Taking medicine to control high blood pressure among adults with high blood pressure","%","Age-adjusted prevalence","58.2",,,"53.8","62.4","73,332","56,335","40037","PREVENT","BPMED","AgeAdjPrv","High Blood Pressure Medication","POINT (-96.3708202661878 35.9025321078939)"
"2023","OK","Oklahoma","Roger Mills","BRFSS","Health-Related Social Needs","Housing insecurity in the past 12 months among adults","%","Age-adjusted prevalence","13.7",,,"11.2","16.5","3,295","2,502","40129","SOCLNEED","HOUSINSECU","AgeAdjPrv","Housing Insecurity","POINT (-99.6959628680842 35.6881644912023)"
"2023","OK","Oklahoma","Murray","BRFSS","Health Outcomes","Depression among adults","%","Age-adjusted prevalence","26.1",,,"22.1","30.1","13,754","10,683","40099","HLTHOUT","DEPRESSION","AgeAdjPrv","Depression","POINT (-97.068009831501 34.4823513481281)"
"2023","OK","Oklahoma","Garvin","BRFSS","Prevention","Cholesterol screening among adults","%","Age-adjusted prevalence","81.9",,,"79.1","84.4","25,865","19,354","40049","PREVENT","CHOLSCREEN","AgeAdjPrv","Cholesterol Screening","POINT (-97.30936420479 34.704567177109)"
"2023","OK","Oklahoma","Muskogee","BRFSS","Health Outcomes","Cancer (non-skin) or melanoma among adults","%","Crude prevalence","7.9",,,"7.1","8.8","66,677","50,493","40101","HLTHOUT","CANCER","CrdPrv","Cancer (non-skin) or Melanoma","POINT (-95.3797854950482 35.6164240462291)"
"2023","OK","Oklahoma","Noble","BRFSS","Health Outcomes","High cholesterol among adults who have ever been screened","%","Crude prevalence","40.9",,,"36.5","45.4","10,832","8,403","40103","HLTHOUT","HIGHCHOL","CrdPrv","High Cholesterol","POINT (-97.2306034414518 36.3884982575705)"
"2023","OK","Oklahoma","Muskogee","BRFSS","Health-Related Social Needs","Lack of social and emotional support among adults","%","Age-adjusted prevalence","27.3",,,"23.4","31.5","66,677","50,493","40101","SOCLNEED","EMOTIONSPT","AgeAdjPrv","Lack of Social/Emotional Support","POINT (-95.3797854950482 35.6164240462291)"
"2023","OK","Oklahoma","Murray","BRFSS","Health-Related Social Needs","Housing insecurity in the past 12 months among adults","%","Crude prevalence","13.1",,,"11.0","15.5","13,754","10,683","40099","SOCLNEED","HOUSINSECU","CrdPrv","Housing Insecurity","POINT (-97.068009831501 34.4823513481281)"
"2023","OK","Oklahoma","Wagoner","BRFSS","Health Outcomes","High blood pressure among adults","%","Age-adjusted prevalence","35.1",,,"31.1","38.9","89,280","68,338","40145","HLTHOUT","BPHIGH","AgeAdjPrv","High Blood Pressure","POINT (-95.5211844530667 35.9615432025713)"
"2023","OK","Oklahoma","Washington","BRFSS","Prevention","Taking medicine to control high blood pressure among adults with high blood pressure","%","Crude prevalence","78.1",,,"75.2","80.7","53,706","40,761","40147","PREVENT","BPMED","CrdPrv","High Blood Pressure Medication","POINT (-95.9043568219824 36.7152366150181)"
"2023","OK","Oklahoma","Ellis","BRFSS","Health Outcomes","High cholesterol among adults who have ever been screened","%","Age-adjusted prevalence","34.3",,,"29.9","38.8","3,648","2,849","40045","HLTHOUT","HIGHCHOL","AgeAdjPrv","High Cholesterol","POINT (-99.7547202594407 36.2183250916209)"
"2023","OK","Oklahoma","Harper","BRFSS","Health Risk Behaviors","Current cigarette smoking among adults","%","Age-adjusted prevalence","16.1",,,"12.8","19.2","3,190","2,450","40059","RISKBEH","CSMOKING","AgeAdjPrv","Current Cigarette Smoking","POINT (-99.6673226920585 36.7888259275223)"
"2023","OK","Oklahoma","Rogers","BRFSS","Health Outcomes","Current asthma among adults","%","Age-adjusted prevalence","11.4",,,"10.1","13.0","100,248","77,057","40131","HLTHOUT","CASTHMA","AgeAdjPrv","Current Asthma","POINT (-95.6042495763961 36.37159098599)"
